,screen,spec_re,spec_im
0,-10.0,0.00819737234538985,0.010658218605181697
1,-9.995,-0.02281487141978901,0.014881943855287552
2,-9.99,-0.0020928791084517894,0.010489978536601533
3,-9.985,0.011622853601569673,0.00785644079063922
4,-9.98,-0.04361924921804031,-0.002093619241646317
5,-9.975,-0.03964930805454634,0.0132637168991731
6,-9.97,-0.000453113089716518,-0.020927723701385077
7,-9.965,0.004342121603417777,-0.03736768971887903
8,-9.96,0.02458117959308714,-0.02294003720466057
9,-9.955,-0.004160888803591005,-0.025422777878527567
10,-9.95,-0.011798847908678094,0.00967036632163195
11,-9.945,-0.02152114345934559,-0.002392476359578669
12,-9.94,-0.007233595654634795,-0.017472380433172535
13,-9.935,-0.029805573002434128,-0.026436209046672238
14,-9.93,-0.025281821027245317,-0.015898761208145016
15,-9.925,0.003959978301486957,-0.017524767148799476
16,-9.92,-0.006121865269434347,-0.013998335505707631
17,-9.915,-0.0002219699809504049,-0.013699521318044113
18,-9.91,-0.019602695889429197,-0.026307767673775354
19,-9.905,0.01847530966601519,0.018483894983829387
20,-9.9,0.029761990590468117,-0.004929814276368882
21,-9.895,-0.014570975416808,0.029679404616827314
22,-9.89,-0.012257940473765423,0.026734331516382492
23,-9.885,-0.03735341692102495,-0.01963787855548898
24,-9.88,0.02637461537067304,-0.0146915272362329
25,-9.875,-0.038135534305460565,0.0003600118507087909
26,-9.87,0.010257024244043973,-0.0005740103447734159
27,-9.865,0.032874901098744067,0.0028732989561175595
28,-9.86,0.019642412411488366,-0.0033250297442613385
29,-9.855,0.018825831448956467,0.021492814571973315
30,-9.85,-0.017486720175558353,-0.003151621399928396
31,-9.845,3.505002387043016e-05,-0.02764720371526605
32,-9.84,0.008624666748285442,-0.014033422865579183
33,-9.835,0.017641278630604922,0.03465289711061891
34,-9.83,-0.003319196103815417,-0.002229526948694868
35,-9.825,0.040648777940802,0.01906892043722447
36,-9.82,0.015349880065595503,-0.000635603309706795
37,-9.815,-0.0066087164800859,0.018245256026897732
38,-9.81,-0.02550866791212028,-0.027088740581125634
39,-9.805,0.025876324517759456,0.016571954572456405
40,-9.8,0.017664877776061714,-0.02052220522424311
41,-9.795,-0.00767569454558508,0.04612404638269722
42,-9.79,-0.011417650183126378,-0.012710651787778521
43,-9.785,0.00475563503131204,0.034190003344497955
44,-9.78,0.01498098527971783,-0.01184161848791843
45,-9.775,-0.005948975885467654,0.0018925005191275362
46,-9.77,0.01822767067390721,-0.013951907277004313
47,-9.765,-0.006543271181411038,0.013497913360033543
48,-9.76,0.015756022275538413,-0.005571424303090069
49,-9.755,0.044780080429608154,0.023465381880944044
50,-9.75,-0.012512569726503806,0.00012814038118577438
51,-9.745,0.0009625500314335251,0.0014211298063373703
52,-9.74,0.020171995439992877,-0.001525057210383699
53,-9.735,-0.019244530610131764,0.002885321925451123
54,-9.73,-0.0027422939072049924,0.011993924454028715
55,-9.725,-0.02197605085989635,0.009307108727394495
56,-9.72,0.016027503488778412,0.002203748213044715
57,-9.715,0.00907310009248917,-0.02964204562775944
58,-9.71,-0.011465310359695299,0.03504310230624586
59,-9.705,-0.0039687141311863195,0.017085223905959648
60,-9.7,-0.004639538741672494,-0.0032504524167989777
61,-9.695,-0.012670749168167654,-0.012434724839538584
62,-9.69,0.02185165047613228,-0.003381144311924821
63,-9.685,-0.016852640183248627,0.018413034091136912
64,-9.68,0.01725787815073617,0.0400682298152687
65,-9.675,0.006420493430468329,0.0011739491324774655
66,-9.67,-0.027163838794833917,-0.012180034824593029
67,-9.665,-0.002723753323119373,-0.024730813891546154
68,-9.66,0.0013096510502554914,0.006530044424129853
69,-9.655,-0.0011273047843913754,0.0014975840796375968
70,-9.65,-0.033927031628869835,-0.028668718887246078
