,screen,pattern,filter_type,filter_width,slits_dist
97,-9.515,0.0014095126122668823,Rectangular,10,4.0
98,-9.51,0.0014017330364859838,Rectangular,10,4.0
99,-9.505,0.001395171125904852,Rectangular,10,4.0
100,-9.5,0.001389845042372035,Rectangular,10,4.0
101,-9.495,0.0013857738524401194,Rectangular,10,4.0
102,-9.49,0.0013829756740006756,Rectangular,10,4.0
103,-9.485,0.001381468330551866,Rectangular,10,4.0
104,-9.48,0.0013812698101466152,Rectangular,10,4.0
105,-9.475,0.00138239824219643,Rectangular,10,4.0
106,-9.47,0.0013848722800636694,Rectangular,10,4.0
107,-9.465,0.0013887092859478495,Rectangular,10,4.0
108,-9.46,0.0013939262705127433,Rectangular,10,4.0
109,-9.455,0.001400540862396882,Rectangular,10,4.0
110,-9.45,0.0014085703315934851,Rectangular,10,4.0
111,-9.445,0.0014180307236587256,Rectangular,10,4.0
112,-9.44,0.0014289386825566681,Rectangular,10,4.0
113,-9.435,0.0014413103466348223,Rectangular,10,4.0
114,-9.43,0.0014551614632179206,Rectangular,10,4.0
115,-9.425,0.001470507672992412,Rectangular,10,4.0
116,-9.42,0.001487364284156055,Rectangular,10,4.0
117,-9.415,0.0015057460207618374,Rectangular,10,4.0
118,-9.41,0.0015256688104293287,Rectangular,10,4.0
119,-9.405,0.0015471480784512875,Rectangular,10,4.0
120,-9.4,0.001570197860757845,Rectangular,10,4.0
121,-9.395,0.0015948317424539353,Rectangular,10,4.0
122,-9.39,0.0016210627064057266,Rectangular,10,4.0
123,-9.385,0.0016489039860948737,Rectangular,10,4.0
124,-9.38,0.0016783680395521168,Rectangular,10,4.0
125,-9.375,0.0017094675022599082,Rectangular,10,4.0
126,-9.37,0.0017422127677288839,Rectangular,10,4.0
127,-9.365,0.0017766160591175617,Rectangular,10,4.0
128,-9.36,0.001812688072586897,Rectangular,10,4.0
129,-9.355,0.0018504395375874363,Rectangular,10,4.0
130,-9.35,0.0018898807249900728,Rectangular,10,4.0
131,-9.345,0.0019310210236818156,Rectangular,10,4.0
132,-9.34,0.0019738697744160196,Rectangular,10,4.0
